2025-02-01 02:04:19.558315 +0700 WIB m=+2962.791398501~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 02:04:19.560243 +0700 WIB m=+2962.7933256681.927167ms~
2025-02-01 02:29:19.16451 +0700 WIB m=+3839.421145084~::1~GET~/api/v1/admin/Images/250129175747sXqf_30+.png~ "Header=>Accept:image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:no-cors | Cookie:varCookie=admin_lippoland%7CMTczODM0MTY2OTI1MDcwMQ%3D%3Dwpc3tbDk0l92u77staPDE1ksNCUNb6%7Cadministrator | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | If-Modified-Since:Fri, 31 Jan 2025 16:41:11 GMT | Sec-Fetch-Dest:image | Accept-Encoding:gzip, deflate, br, zstd"~200~2025-02-01 02:29:19.197642 +0700 WIB m=+3839.454277334~12.666µs~
2025-02-01 02:29:19.164386 +0700 WIB m=+3839.421021709~::1~GET~/api/v1/admin/Images/250130222706Q3xP_logo_dark.png~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | If-Modified-Since:Fri, 31 Jan 2025 16:41:11 GMT | Cookie:varCookie=admin_lippoland%7CMTczODM0MTY2OTI1MDcwMQ%3D%3Dwpc3tbDk0l92u77staPDE1ksNCUNb6%7Cadministrator | Sec-Fetch-Dest:image | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Mode:no-cors | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd"~200~2025-02-01 02:29:19.211857 +0700 WIB m=+3839.468492209~210.125µs~
2025-02-01 02:44:15.938727 +0700 WIB m=+4736.195362001~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Connection:keep-alive"~{"Ip":"","Id":""}~2002025-02-01 02:44:15.941012 +0700 WIB m=+4736.1976477512.28575ms~
2025-02-01 02:45:20.209967 +0700 WIB m=+4800.466601834~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Content-Type:application/json | Sec-Fetch-Mode:cors | Connection:keep-alive"~{"Ip":"","Id":""}~2002025-02-01 02:45:20.370957 +0700 WIB m=+4800.627592001160.990167ms~
2025-02-01 02:45:20.218143 +0700 WIB m=+4800.474778084~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0"~{"Ip":"","Id":""}~2002025-02-01 02:45:20.384336 +0700 WIB m=+4800.640971251166.193167ms~
2025-02-01 02:45:20.218394 +0700 WIB m=+4800.475029168~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-02-01 02:45:20.371926 +0700 WIB m=+4800.628561709153.532541ms~
2025-02-01 02:45:20.209754 +0700 WIB m=+4800.466389501~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 02:45:20.370838 +0700 WIB m=+4800.627473334161.083833ms~
2025-02-01 02:45:20.209596 +0700 WIB m=+4800.466231543~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 02:45:20.372273 +0700 WIB m=+4800.628908709162.677166ms~
2025-02-01 02:45:20.22423 +0700 WIB m=+4800.480865793~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 02:45:20.372209 +0700 WIB m=+4800.628844626147.978833ms~
2025-02-01 02:45:21.011321 +0700 WIB m=+4801.267957043~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Connection:keep-alive | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.035478 +0700 WIB m=+4801.29211329324.15625ms~
2025-02-01 02:45:21.01125 +0700 WIB m=+4801.267885793~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Site:same-site | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.035859 +0700 WIB m=+4801.29249404324.60825ms~
2025-02-01 02:45:21.011534 +0700 WIB m=+4801.268168959~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Referer:http://localhost:3000/ | Connection:keep-alive | Accept:*/* | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.035672 +0700 WIB m=+4801.29230683424.137875ms~
2025-02-01 02:45:21.011481 +0700 WIB m=+4801.268116376~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.03573 +0700 WIB m=+4801.29236495924.248583ms~
2025-02-01 02:45:21.011583 +0700 WIB m=+4801.268218418~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.035783 +0700 WIB m=+4801.29241791824.1995ms~
2025-02-01 02:45:21.011435 +0700 WIB m=+4801.268070626~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Content-Type:application/json | Accept:*/* | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.036213 +0700 WIB m=+4801.29284854324.777917ms~
2025-02-01 02:45:21.325787 +0700 WIB m=+4801.582422251~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Origin:http://localhost:3000 | Connection:keep-alive | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Ip":"","Id":""}~2002025-02-01 02:45:21.327491 +0700 WIB m=+4801.5841261681.703917ms~
